"coordinate","8760721","8760922","8761305","8761724","8761927","8762482","8762484","8764044","8764227","8766072","8747437"
"lon",,-89.259,-89.407,-89.673,-89.958,-90.113,-90.420,-90.422,-91.237,-91.338,-92.305,-89.326
"lat",29.179,28.932,29.868,29.265,30.027,29.789,30.106,29.668,29.450,29.552,30.326
