"coordinate","8770971","8771341","8771450","8771013","8770613","8773701","8773259","8773037","8774770","8775237"
"lon",-94.5133,-94.725,-94.793333,-94.918333,-94.985,-96.395,-96.61,-96.711667,-97.046667,-97.073333
"lat",29.515,29.356667,29.31,29.48,29.681667,28.446667,28.64,28.406667,28.021667,27.84
